epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07552,2.25298,4.66663,9.22494,2.29686,0,0.08447,0.38065,0.06069,0.02519,0.03231,0.20645,0.00833,0.00137,1.51079,31.3226,86.8667,2.20162,0,0.000318841,0.000318841,0.0684348
2,8.23793,1.31606,2.54025,1.38811,1.50959,0,0.68947,0.32903,0.35498,0.1615,0,0,0,0,1.54025,70.5963,88.9315,2.87886,0,0.000652103,0.000652103,0.0354347
3,11.3816,1.06984,1.81022,1.08876,1.34161,0,0.49482,0.16774,0.20332,0.06049,0.00013,0.01935,3e-05,0,2.01364,24.7511,12.6832,2.94867,0,0.000985079,0.000985079,0.00243435
4,14.4894,0.95673,1.47929,0.96375,1.23874,0,0.69835,0.32258,0.36029,0.10362,0.00054,0.12258,0.00011,2e-05,2.22005,8.6201,134.66,2.99544,0,0.000999023,0.000999023,0.000999023
5,17.5737,0.89782,1.33385,0.7565,1.16071,0,0.80722,0.67742,0.67275,0.17534,0.76687,0.32258,0.325,0.06777,2.05046,8.27835,119.628,4.33436,0,0.000998264,0.000998264,0.000998264
6,20.7123,0.83849,1.25569,0.68527,1.10725,0,0.91748,0.32258,0.35466,0.10462,0.91748,0.32258,0.34066,0.10195,2.2372,4.83952,105.782,3.59293,0,0.000997288,0.000997288,0.000997288
7,23.8496,0.73207,1.13818,0.60557,1.04098,0,0.35919,0.32258,0.22885,0.12479,0.35919,0.32258,0.21767,0.10225,1.0531,5.07716,107.152,1.72905,0,0.000996097,0.000996097,0.000996097
8,26.9886,0.74998,1.12823,0.62566,1.0497,0,0.59134,0.66285,0.62168,0.27954,0.59134,0.66285,0.60703,0.20519,1.22619,6.074,9.34101,1.80943,0,0.00099469,0.00099469,0.00099469
9,30.1619,0.74664,1.01462,0.60318,1.06991,0,0.61527,0.65161,0.55285,0.35151,0.73509,0.32258,0.32245,0.18874,1.14068,6.79162,28.2605,1.40423,0,0.000993068,0.000993068,0.000993068
10,33.3135,0.72168,1.05241,0.56517,1.04711,0,1,0.32675,0.45971,0.35167,0.9876,0.32258,0.45146,0.3118,1.10222,4.70015,30.2011,1.50985,0,0.000991232,0.000991232,0.000991232
11,36.4344,0.68429,0.91874,0.54128,1.00942,0,0.99279,0.32258,0.45021,0.25717,0.99279,0.32258,0.43886,0.26372,1.24709,4.52154,14.1014,1.61996,0,0.000989183,0.000989183,0.000989183
12,39.5468,0.64077,0.87423,0.53113,0.99698,0,0.99178,0.32258,0.38975,0.23275,0.99178,0.32258,0.38299,0.20666,1.50971,4.74737,29.875,2.00777,0,0.000986922,0.000986922,0.000986922
13,42.6703,0.63117,0.86042,0.52932,0.98796,0,0.47054,0.6,0.49614,0.25984,0.52033,0.32258,0.39298,0.1906,1.42157,5.39777,15.6937,1.87259,0,0.000984449,0.000984449,0.000984449
14,45.793,0.6243,0.78265,0.49367,0.98262,0,0.70006,0.63243,0.59005,0.24813,0.65274,0.32258,0.41884,0.16131,1.32846,6.95094,10.0939,1.88365,0,0.000981765,0.000981765,0.000981765
15,48.9057,0.63108,0.79873,0.5091,0.99003,0,0.61655,0.47718,0.52555,0.30183,0.5931,0.45139,0.50796,0.19083,1.23447,7.10666,6.30306,1.63548,0,0.000978873,0.000978873,0.000978873
16,51.9024,0.59482,0.75976,0.48563,0.99202,0,0.99567,0.32258,0.32613,0.1803,0.99567,0.32258,0.325,0.17493,1.34154,7.20022,6.28092,1.6968,0,0.000975773,0.000975773,0.000975773
17,54.9808,0.60844,0.71706,0.48572,0.98055,0,0.6718,0.67352,0.5333,0.38465,0.6718,0.67352,0.5333,0.29595,1.14691,5.9512,6.04684,1.4717,0,0.000972466,0.000972466,0.000972466
18,58.2222,0.58804,0.66644,0.47347,0.95871,0,0.79363,0.66992,0.6124,0.43545,0.7249,0.663,0.59384,0.34936,1.20608,5.10424,1.44497,1.47209,0,0.000968955,0.000968955,0.000968955
19,61.3481,0.55394,0.71592,0.44921,0.94691,0,0.79864,0.61935,0.63681,0.3623,0.8024,0.32258,0.31491,0.21561,1.13954,6.66571,1.6412,1.5056,0,0.000965239,0.000965239,0.000965239
20,64.3715,0.55351,0.64479,0.44317,0.95762,0,0.76674,0.55484,0.60644,0.46101,0.75412,0.55404,0.59564,0.32577,0.99274,6.69275,2.08533,1.30318,0,0.000961322,0.000961322,0.000961322
21,67.5514,0.55028,0.76265,0.44858,0.95729,0,0.86066,0.58065,0.62598,0.45896,0.8315,0.54122,0.57577,0.28678,0.94455,6.95438,2.71752,1.28548,0,0.000957205,0.000957205,0.000957205
22,70.6123,0.56062,0.78118,0.46475,0.97738,0,0.68477,0.67742,0.56941,0.34792,0.68477,0.67742,0.56941,0.25117,1.15531,6.44245,2.41092,1.51357,0,0.000952889,0.000952889,0.000952889
23,73.7214,0.55773,0.69445,0.43105,0.9469,0,0.64635,0.61315,0.54587,0.33437,0.53998,0.50968,0.43183,0.15597,1.20759,9.91128,1.89729,1.57774,0,0.000948377,0.000948377,0.000948377
24,76.8359,0.57704,0.67043,0.44756,0.97287,0,0.60667,0.66452,0.54583,0.21763,0.5547,0.6129,0.50616,0.14574,1.3666,9.33538,3.91521,1.69667,0,0.000943671,0.000943671,0.000943671
25,79.9079,0.55547,0.60864,0.44455,0.96957,0,0.98077,0.65826,0.67178,0.30016,0.98077,0.65826,0.67178,0.18628,1.39642,9.72455,2.78407,1.91743,0,0.000938772,0.000938772,0.000938772
26,82.9547,0.54653,0.63283,0.43346,0.95529,0,0.99633,0.32258,0.45366,0.24568,0.99633,0.32258,0.45366,0.1897,1.29441,8.55193,3.53837,1.77903,0,0.000933683,0.000933683,0.000933683
27,86.0051,0.52208,0.68465,0.47572,0.95208,0,0.89058,0.32258,0.36228,0.2167,0.89058,0.32258,0.36228,0.11084,1.03542,9.92615,2.46629,1.59494,0,0.000928405,0.000928405,0.000928405
28,89.0966,0.5048,0.72545,0.42205,0.93089,0,0.9743,0.60645,0.66669,0.50612,0.9743,0.60645,0.66669,0.35143,0.90211,8.11768,1.16633,1.36543,0,0.000922942,0.000922942,0.000922942
29,92.2292,0.50723,0.66267,0.41818,0.92043,0,0.9526,0.64828,0.67191,0.50027,0.9526,0.64828,0.67191,0.39813,0.81525,6.81392,1.14128,1.21427,0,0.000917296,0.000917296,0.000917296
30,95.3146,0.51703,0.58794,0.42163,0.94767,0,0.6393,0.36774,0.5053,0.29059,0.6393,0.36774,0.5053,0.22207,1.04215,5.46986,2.01075,1.3398,0,0.000911469,0.000911469,0.000911469
31,98.3039,0.50997,0.65065,0.42168,0.92163,0,0.98312,0.32258,0.36566,0.19808,0.98312,0.32258,0.36566,0.1804,1.23926,5.19164,2.79734,1.50468,0,0.000905463,0.000905463,0.000905463
32,101.268,0.51682,0.59288,0.41025,0.94332,0,1,0.44054,0.60437,0.36818,1,0.44054,0.60437,0.34769,1.34197,5.05476,1.71147,1.62041,0,0.000899282,0.000899282,0.000899282
33,104.359,0.51158,0.57872,0.42454,0.9382,0,0.50405,0.57048,0.50701,0.41275,0.50405,0.57048,0.50701,0.34321,0.8351,4.78674,1.46221,1.24196,0,0.000892928,0.000892928,0.000892928
34,107.483,0.45554,0.46062,0.37977,0.89924,0,0.99731,0.32258,0.47505,0.38392,0.99731,0.32258,0.40363,0.23641,0.98503,8.97818,1.74325,1.40306,0,0.000886404,0.000886404,0.000886404
35,110.609,0.46548,0.56242,0.38578,0.91688,0,0.99621,0.32258,0.42104,0.32222,0.99621,0.32258,0.325,0.25705,1.36427,9.6642,2.32815,1.6358,0,0.000879713,0.000879713,0.000879713
36,113.758,0.4316,0.57329,0.37041,0.89574,0,0.63145,0.56774,0.56218,0.29538,0.97939,0.32258,0.32684,0.2296,1.68653,8.41249,3.47188,2.04446,0,0.000872857,0.000872857,0.000872857
37,116.854,0.45204,0.52862,0.36973,0.91301,0,0.62249,0.63831,0.54583,0.38993,0.93707,0.32258,0.325,0.2275,1.2083,9.09074,4.17359,1.51477,0,0.000865839,0.000865839,0.000865839
